<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GBPCB,D,20181204,000000,84.8406000,84.8406000,84.8406000,84.8406000,0
GBPCB,D,20181205,000000,84.7195000,84.7195000,84.7195000,84.7195000,0
GBPCB,D,20181206,000000,84.9469000,84.9469000,84.9469000,84.9469000,0
GBPCB,D,20181207,000000,84.8036000,84.8036000,84.8036000,84.8036000,0
GBPCB,D,20181208,000000,85.3465000,85.3465000,85.3465000,85.3465000,0
GBPCB,D,20181211,000000,84.2924000,84.2924000,84.2924000,84.2924000,0
GBPCB,D,20181212,000000,83.8194000,83.8194000,83.8194000,83.8194000,0
GBPCB,D,20181213,000000,83.2141000,83.2141000,83.2141000,83.2141000,0
GBPCB,D,20181214,000000,83.9186000,83.9186000,83.9186000,83.9186000,0
GBPCB,D,20181215,000000,83.7131000,83.7131000,83.7131000,83.7131000,0
GBPCB,D,20181218,000000,83.9089000,83.9089000,83.9089000,83.9089000,0
GBPCB,D,20181219,000000,84.4930000,84.4930000,84.4930000,84.4930000,0
GBPCB,D,20181220,000000,85.0243000,85.0243000,85.0243000,85.0243000,0
GBPCB,D,20181221,000000,85.2917000,85.2917000,85.2917000,85.2917000,0
GBPCB,D,20181222,000000,86.3096000,86.3096000,86.3096000,86.3096000,0
GBPCB,D,20181225,000000,86.6584000,86.6584000,86.6584000,86.6584000,0
GBPCB,D,20181226,000000,87.1890000,87.1890000,87.1890000,87.1890000,0
GBPCB,D,20181227,000000,87.4721000,87.4721000,87.4721000,87.4721000,0
GBPCB,D,20181228,000000,87.1766000,87.1766000,87.1766000,87.1766000,0
GBPCB,D,20181229,000000,87.9659000,87.9659000,87.9659000,87.9659000,0
GBPCB,D,20181230,000000,88.2832000,88.2832000,88.2832000,88.2832000,0
GBPCB,D,20190110,000000,85.5599000,85.5599000,85.5599000,85.5599000,0
GBPCB,D,20190111,000000,85.2873000,85.2873000,85.2873000,85.2873000,0
GBPCB,D,20190112,000000,85.2117000,85.2117000,85.2117000,85.2117000,0
GBPCB,D,20190115,000000,86.2208000,86.2208000,86.2208000,86.2208000,0
GBPCB,D,20190116,000000,86.3412000,86.3412000,86.3412000,86.3412000,0
GBPCB,D,20190117,000000,86.0225000,86.0225000,86.0225000,86.0225000,0
GBPCB,D,20190118,000000,85.3603000,85.3603000,85.3603000,85.3603000,0
GBPCB,D,20190119,000000,85.9118000,85.9118000,85.9118000,85.9118000,0
GBPCB,D,20190122,000000,85.3301000,85.3301000,85.3301000,85.3301000,0
GBPCB,D,20190123,000000,85.6231000,85.6231000,85.6231000,85.6231000,0
GBPCB,D,20190124,000000,85.9726000,85.9726000,85.9726000,85.9726000,0
GBPCB,D,20190125,000000,86.0991000,86.0991000,86.0991000,86.0991000,0
GBPCB,D,20190126,000000,86.2656000,86.2656000,86.2656000,86.2656000,0
GBPCB,D,20190129,000000,86.7968000,86.7968000,86.7968000,86.7968000,0
GBPCB,D,20190130,000000,87.2652000,87.2652000,87.2652000,87.2652000,0
GBPCB,D,20190131,000000,86.5232000,86.5232000,86.5232000,86.5232000,0
GBPCB,D,20190201,000000,85.9192000,85.9192000,85.9192000,85.9192000,0
GBPCB,D,20190202,000000,86.0082000,86.0082000,86.0082000,86.0082000,0
GBPCB,D,20190205,000000,85.7929000,85.7929000,85.7929000,85.7929000,0
GBPCB,D,20190206,000000,85.4693000,85.4693000,85.4693000,85.4693000,0
GBPCB,D,20190207,000000,85.0671000,85.0671000,85.0671000,85.0671000,0
GBPCB,D,20190208,000000,85.2449000,85.2449000,85.2449000,85.2449000,0
GBPCB,D,20190209,000000,85.4324000,85.4324000,85.4324000,85.4324000,0
GBPCB,D,20190212,000000,84.8220000,84.8220000,84.8220000,84.8220000,0
GBPCB,D,20190213,000000,84.5354000,84.5354000,84.5354000,84.5354000,0
GBPCB,D,20190214,000000,84.7250000,84.7250000,84.7250000,84.7250000,0
GBPCB,D,20190215,000000,85.3945000,85.3945000,85.3945000,85.3945000,0
GBPCB,D,20190216,000000,85.3816000,85.3816000,85.3816000,85.3816000,0
GBPCB,D,20190219,000000,85.4255000,85.4255000,85.4255000,85.4255000,0
GBPCB,D,20190220,000000,85.6127000,85.6127000,85.6127000,85.6127000,0
GBPCB,D,20190221,000000,85.8443000,85.8443000,85.8443000,85.8443000,0
GBPCB,D,20190222,000000,85.6412000,85.6412000,85.6412000,85.6412000,0
GBPCB,D,20190223,000000,85.3921000,85.3921000,85.3921000,85.3921000,0
GBPCB,D,20190226,000000,85.4099000,85.4099000,85.4099000,85.4099000,0
GBPCB,D,20190227,000000,86.3011000,86.3011000,86.3011000,86.3011000,0
GBPCB,D,20190228,000000,87.3582000,87.3582000,87.3582000,87.3582000,0
GBPCB,D,20190301,000000,87.5606000,87.5606000,87.5606000,87.5606000,0
GBPCB,D,20190302,000000,87.1581000,87.1581000,87.1581000,87.1581000,0
GBPCB,D,20190305,000000,87.1134000,87.1134000,87.1134000,87.1134000,0
GBPCB,D,20190306,000000,86.6789000,86.6789000,86.6789000,86.6789000,0
GBPCB,D,20190307,000000,86.5638000,86.5638000,86.5638000,86.5638000,0
GBPCB,D,20190308,000000,86.8292000,86.8292000,86.8292000,86.8292000,0
GBPCB,D,20190312,000000,85.9124000,85.9124000,85.9124000,85.9124000,0
GBPCB,D,20190313,000000,87.0366000,87.0366000,87.0366000,87.0366000,0
GBPCB,D,20190314,000000,86.1446000,86.1446000,86.1446000,86.1446000,0
GBPCB,D,20190315,000000,87.1156000,87.1156000,87.1156000,87.1156000,0
GBPCB,D,20190316,000000,86.6031000,86.6031000,86.6031000,86.6031000,0
GBPCB,D,20190319,000000,85.7452000,85.7452000,85.7452000,85.7452000,0
GBPCB,D,20190320,000000,85.3225000,85.3225000,85.3225000,85.3225000,0
GBPCB,D,20190321,000000,85.0428000,85.0428000,85.0428000,85.0428000,0
GBPCB,D,20190322,000000,83.8526000,83.8526000,83.8526000,83.8526000,0
GBPCB,D,20190323,000000,83.7626000,83.7626000,83.7626000,83.7626000,0
GBPCB,D,20190326,000000,85.0552000,85.0552000,85.0552000,85.0552000,0
GBPCB,D,20190327,000000,84.6187000,84.6187000,84.6187000,84.6187000,0
GBPCB,D,20190328,000000,85.2233000,85.2233000,85.2233000,85.2233000,0
GBPCB,D,20190329,000000,85.1229000,85.1229000,85.1229000,85.1229000,0
GBPCB,D,20190330,000000,84.2522000,84.2522000,84.2522000,84.2522000,0
GBPCB,D,20190402,000000,85.5858000,85.5858000,85.5858000,85.5858000,0
GBPCB,D,20190403,000000,85.5269000,85.5269000,85.5269000,85.5269000,0
GBPCB,D,20190404,000000,85.7687000,85.7687000,85.7687000,85.7687000,0
GBPCB,D,20190405,000000,86.0698000,86.0698000,86.0698000,86.0698000,0
GBPCB,D,20190406,000000,85.6573000,85.6573000,85.6573000,85.6573000,0
GBPCB,D,20190409,000000,85.3664000,85.3664000,85.3664000,85.3664000,0
GBPCB,D,20190410,000000,84.7084000,84.7084000,84.7084000,84.7084000,0
GBPCB,D,20190411,000000,84.6246000,84.6246000,84.6246000,84.6246000,0
GBPCB,D,20190412,000000,84.1954000,84.1954000,84.1954000,84.1954000,0
GBPCB,D,20190413,000000,84.2722000,84.2722000,84.2722000,84.2722000,0
GBPCB,D,20190416,000000,84.1956000,84.1956000,84.1956000,84.1956000,0
GBPCB,D,20190417,000000,84.0738000,84.0738000,84.0738000,84.0738000,0
GBPCB,D,20190418,000000,83.4418000,83.4418000,83.4418000,83.4418000,0
GBPCB,D,20190419,000000,83.3791000,83.3791000,83.3791000,83.3791000,0
GBPCB,D,20190420,000000,83.1419000,83.1419000,83.1419000,83.1419000,0
GBPCB,D,20190423,000000,82.8899000,82.8899000,82.8899000,82.8899000,0
GBPCB,D,20190424,000000,82.9023000,82.9023000,82.9023000,82.9023000,0
GBPCB,D,20190425,000000,82.7003000,82.7003000,82.7003000,82.7003000,0
GBPCB,D,20190426,000000,83.3523000,83.3523000,83.3523000,83.3523000,0
GBPCB,D,20190427,000000,83.5022000,83.5022000,83.5022000,83.5022000,0
GBPCB,D,20190430,000000,83.7305000,83.7305000,83.7305000,83.7305000,0
GBPCB,D,20190501,000000,83.8592000,83.8592000,83.8592000,83.8592000,0
GBPCB,D,20190507,000000,85.7130000,85.7130000,85.7130000,85.7130000,0
GBPCB,D,20190508,000000,85.3816000,85.3816000,85.3816000,85.3816000,0
GBPCB,D,20190509,000000,85.1495000,85.1495000,85.1495000,85.1495000,0
GBPCB,D,20190514,000000,85.1834000,85.1834000,85.1834000,85.1834000,0
GBPCB,D,20190515,000000,84.5114000,84.5114000,84.5114000,84.5114000,0
GBPCB,D,20190516,000000,83.7264000,83.7264000,83.7264000,83.7264000,0
GBPCB,D,20190517,000000,82.8496000,82.8496000,82.8496000,82.8496000,0
GBPCB,D,20190518,000000,82.6135000,82.6135000,82.6135000,82.6135000,0
GBPCB,D,20190521,000000,82.2232000,82.2232000,82.2232000,82.2232000,0
GBPCB,D,20190522,000000,81.9042000,81.9042000,81.9042000,81.9042000,0
GBPCB,D,20190523,000000,81.6854000,81.6854000,81.6854000,81.6854000,0
GBPCB,D,20190524,000000,81.3364000,81.3364000,81.3364000,81.3364000,0
GBPCB,D,20190525,000000,81.9262000,81.9262000,81.9262000,81.9262000,0
GBPCB,D,20190528,000000,81.9848000,81.9848000,81.9848000,81.9848000,0
GBPCB,D,20190529,000000,81.7198000,81.7198000,81.7198000,81.7198000,0
GBPCB,D,20190530,000000,82.0183000,82.0183000,82.0183000,82.0183000,0
GBPCB,D,20190531,000000,82.2142000,82.2142000,82.2142000,82.2142000,0
GBPCB,D,20190601,000000,82.5531000,82.5531000,82.5531000,82.5531000,0
GBPCB,D,20190604,000000,82.9136000,82.9136000,82.9136000,82.9136000,0
GBPCB,D,20190605,000000,82.4552000,82.4552000,82.4552000,82.4552000,0
GBPCB,D,20190606,000000,82.8055000,82.8055000,82.8055000,82.8055000,0
GBPCB,D,20190607,000000,82.8080000,82.8080000,82.8080000,82.8080000,0
GBPCB,D,20190608,000000,82.6652000,82.6652000,82.6652000,82.6652000,0
GBPCB,D,20190611,000000,82.4088000,82.4088000,82.4088000,82.4088000,0
GBPCB,D,20190612,000000,81.8641000,81.8641000,81.8641000,81.8641000,0
GBPCB,D,20190614,000000,81.9268000,81.9268000,81.9268000,81.9268000,0
GBPCB,D,20190615,000000,81.5910000,81.5910000,81.5910000,81.5910000,0
GBPCB,D,20190618,000000,80.9451000,80.9451000,80.9451000,80.9451000,0
GBPCB,D,20190619,000000,80.5798000,80.5798000,80.5798000,80.5798000,0
GBPCB,D,20190620,000000,80.4221000,80.4221000,80.4221000,80.4221000,0
GBPCB,D,20190621,000000,80.6545000,80.6545000,80.6545000,80.6545000,0
GBPCB,D,20190622,000000,80.0545000,80.0545000,80.0545000,80.0545000,0
GBPCB,D,20190625,000000,80.1404000,80.1404000,80.1404000,80.1404000,0
GBPCB,D,20190626,000000,79.7980000,79.7980000,79.7980000,79.7980000,0
GBPCB,D,20190627,000000,79.6346000,79.6346000,79.6346000,79.6346000,0
GBPCB,D,20190628,000000,80.0107000,80.0107000,80.0107000,80.0107000,0
GBPCB,D,20190629,000000,79.9105000,79.9105000,79.9105000,79.9105000,0
GBPCB,D,20190702,000000,79.7950000,79.7950000,79.7950000,79.7950000,0
GBPCB,D,20190703,000000,79.7918000,79.7918000,79.7918000,79.7918000,0
GBPCB,D,20190704,000000,79.8006000,79.8006000,79.8006000,79.8006000,0
GBPCB,D,20190705,000000,79.7905000,79.7905000,79.7905000,79.7905000,0
GBPCB,D,20190706,000000,79.8489000,79.8489000,79.8489000,79.8489000,0
GBPCB,D,20190709,000000,80.0609000,80.0609000,80.0609000,80.0609000,0
GBPCB,D,20190710,000000,79.5034000,79.5034000,79.5034000,79.5034000,0
GBPCB,D,20190711,000000,79.5507000,79.5507000,79.5507000,79.5507000,0
GBPCB,D,20190712,000000,78.9698000,78.9698000,78.9698000,78.9698000,0
GBPCB,D,20190713,000000,79.0402000,79.0402000,79.0402000,79.0402000,0
GBPCB,D,20190716,000000,78.8931000,78.8931000,78.8931000,78.8931000,0
GBPCB,D,20190717,000000,78.2963000,78.2963000,78.2963000,78.2963000,0
GBPCB,D,20190718,000000,78.1149000,78.1149000,78.1149000,78.1149000,0
GBPCB,D,20190719,000000,78.3598000,78.3598000,78.3598000,78.3598000,0
GBPCB,D,20190720,000000,78.7656000,78.7656000,78.7656000,78.7656000,0
GBPCB,D,20190723,000000,78.6023000,78.6023000,78.6023000,78.6023000,0
GBPCB,D,20190724,000000,78.4883000,78.4883000,78.4883000,78.4883000,0
GBPCB,D,20190725,000000,78.5923000,78.5923000,78.5923000,78.5923000,0
GBPCB,D,20190726,000000,78.8202000,78.8202000,78.8202000,78.8202000,0
GBPCB,D,20190727,000000,78.4859000,78.4859000,78.4859000,78.4859000,0
GBPCB,D,20190730,000000,78.3595000,78.3595000,78.3595000,78.3595000,0
GBPCB,D,20190731,000000,77.0626000,77.0626000,77.0626000,77.0626000,0
GBPCB,D,20190801,000000,77.1026000,77.1026000,77.1026000,77.1026000,0
GBPCB,D,20190802,000000,77.3477000,77.3477000,77.3477000,77.3477000,0
GBPCB,D,20190803,000000,78.3982000,78.3982000,78.3982000,78.3982000,0
GBPCB,D,20190806,000000,78.8397000,78.8397000,78.8397000,78.8397000,0
GBPCB,D,20190807,000000,79.4303000,79.4303000,79.4303000,79.4303000,0
GBPCB,D,20190808,000000,79.1273000,79.1273000,79.1273000,79.1273000,0
GBPCB,D,20190809,000000,79.2501000,79.2501000,79.2501000,79.2501000,0
GBPCB,D,20190810,000000,79.1013000,79.1013000,79.1013000,79.1013000,0
GBPCB,D,20190813,000000,78.9005000,78.9005000,78.9005000,78.9005000,0
GBPCB,D,20190814,000000,79.1091000,79.1091000,79.1091000,79.1091000,0
GBPCB,D,20190815,000000,78.6416000,78.6416000,78.6416000,78.6416000,0
GBPCB,D,20190816,000000,79.5762000,79.5762000,79.5762000,79.5762000,0
GBPCB,D,20190817,000000,80.0335000,80.0335000,80.0335000,80.0335000,0
GBPCB,D,20190820,000000,80.7957000,80.7957000,80.7957000,80.7957000,0
GBPCB,D,20190824,000000,80.0639000,80.0639000,80.0639000,80.0639000,0
GBPCB,D,20190827,000000,80.7516000,80.7516000,80.7516000,80.7516000,0
GBPCB,D,20190828,000000,81.1430000,81.1430000,81.1430000,81.1430000,0
GBPCB,D,20190829,000000,81.2094000,81.2094000,81.2094000,81.2094000,0
GBPCB,D,20190830,000000,81.4114000,81.4114000,81.4114000,81.4114000,0
GBPCB,D,20190831,000000,80.9446000,80.9446000,80.9446000,80.9446000,0
GBPCB,D,20190903,000000,80.6211000,80.6211000,80.6211000,80.6211000,0
GBPCB,D,20190904,000000,80.3154000,80.3154000,80.3154000,80.3154000,0
GBPCB,D,20190905,000000,80.7844000,80.7844000,80.7844000,80.7844000,0
GBPCB,D,20190906,000000,81.0666000,81.0666000,81.0666000,81.0666000,0
GBPCB,D,20190907,000000,81.1711000,81.1711000,81.1711000,81.1711000,0
GBPCB,D,20190910,000000,80.5787000,80.5787000,80.5787000,80.5787000,0
GBPCB,D,20190911,000000,80.6932000,80.6932000,80.6932000,80.6932000,0
GBPCB,D,20190912,000000,80.7694000,80.7694000,80.7694000,80.7694000,0
GBPCB,D,20190913,000000,80.3804000,80.3804000,80.3804000,80.3804000,0
GBPCB,D,20190914,000000,79.9055000,79.9055000,79.9055000,79.9055000,0
GBPCB,D,20190917,000000,79.4393000,79.4393000,79.4393000,79.4393000,0
GBPCB,D,20190918,000000,79.6066000,79.6066000,79.6066000,79.6066000,0
GBPCB,D,20190919,000000,80.2979000,80.2979000,80.2979000,80.2979000,0
GBPCB,D,20190920,000000,80.2042000,80.2042000,80.2042000,80.2042000,0
GBPCB,D,20190921,000000,80.0727000,80.0727000,80.0727000,80.0727000,0
GBPCB,D,20190924,000000,79.5032000,79.5032000,79.5032000,79.5032000,0
GBPCB,D,20190925,000000,79.1547000,79.1547000,79.1547000,79.1547000,0
GBPCB,D,20190926,000000,79.8747000,79.8747000,79.8747000,79.8747000,0
GBPCB,D,20190927,000000,79.2617000,79.2617000,79.2617000,79.2617000,0
GBPCB,D,20190928,000000,79.1925000,79.1925000,79.1925000,79.1925000,0
GBPCB,D,20191001,000000,79.5533000,79.5533000,79.5533000,79.5533000,0
GBPCB,D,20191002,000000,79.8828000,79.8828000,79.8828000,79.8828000,0
GBPCB,D,20191003,000000,80.2817000,80.2817000,80.2817000,80.2817000,0
GBPCB,D,20191004,000000,80.1374000,80.1374000,80.1374000,80.1374000,0
GBPCB,D,20191005,000000,80.2340000,80.2340000,80.2340000,80.2340000,0
GBPCB,D,20191008,000000,79.6905000,79.6905000,79.6905000,79.6905000,0
GBPCB,D,20191009,000000,79.5466000,79.5466000,79.5466000,79.5466000,0
GBPCB,D,20191010,000000,79.8813000,79.8813000,79.8813000,79.8813000,0
GBPCB,D,20191011,000000,79.2437000,79.2437000,79.2437000,79.2437000,0
GBPCB,D,20191012,000000,79.9649000,79.9649000,79.9649000,79.9649000,0
GBPCB,D,20191015,000000,80.9585000,80.9585000,80.9585000,80.9585000,0
GBPCB,D,20191016,000000,81.3402000,81.3402000,81.3402000,81.3402000,0
GBPCB,D,20191017,000000,81.8990000,81.8990000,81.8990000,81.8990000,0
GBPCB,D,20191018,000000,81.8040000,81.8040000,81.8040000,81.8040000,0
GBPCB,D,20191019,000000,82.5073000,82.5073000,82.5073000,82.5073000,0
GBPCB,D,20191022,000000,82.9398000,82.9398000,82.9398000,82.9398000,0
GBPCB,D,20191023,000000,82.3419000,82.3419000,82.3419000,82.3419000,0
GBPCB,D,20191024,000000,82.0528000,82.0528000,82.0528000,82.0528000,0
GBPCB,D,20191025,000000,82.3794000,82.3794000,82.3794000,82.3794000,0
GBPCB,D,20191026,000000,82.2228000,82.2228000,82.2228000,82.2228000,0
GBPCB,D,20191029,000000,82.0027000,82.0027000,82.0027000,82.0027000,0
GBPCB,D,20191030,000000,82.0114000,82.0114000,82.0114000,82.0114000,0
GBPCB,D,20191031,000000,82.2370000,82.2370000,82.2370000,82.2370000,0
GBPCB,D,20191101,000000,82.5565000,82.5565000,82.5565000,82.5565000,0
GBPCB,D,20191102,000000,83.0106000,83.0106000,83.0106000,83.0106000,0
GBPCB,D,20191106,000000,81.5773000,81.5773000,81.5773000,81.5773000,0
GBPCB,D,20191107,000000,81.9141000,81.9141000,81.9141000,81.9141000,0
GBPCB,D,20191108,000000,81.9756000,81.9756000,81.9756000,81.9756000,0
GBPCB,D,20191109,000000,81.6630000,81.6630000,81.6630000,81.6630000,0
GBPCB,D,20191112,000000,81.7947000,81.7947000,81.7947000,81.7947000,0
GBPCB,D,20191113,000000,81.9298000,81.9298000,81.9298000,81.9298000,0
GBPCB,D,20191114,000000,82.4019000,82.4019000,82.4019000,82.4019000,0
GBPCB,D,20191115,000000,82.4458000,82.4458000,82.4458000,82.4458000,0
GBPCB,D,20191116,000000,82.2432000,82.2432000,82.2432000,82.2432000,0
GBPCB,D,20191119,000000,82.5681000,82.5681000,82.5681000,82.5681000,0
GBPCB,D,20191120,000000,82.6371000,82.6371000,82.6371000,82.6371000,0
GBPCB,D,20191121,000000,82.6067000,82.6067000,82.6067000,82.6067000,0
GBPCB,D,20191122,000000,82.5937000,82.5937000,82.5937000,82.5937000,0
GBPCB,D,20191123,000000,82.3262000,82.3262000,82.3262000,82.3262000,0
GBPCB,D,20191126,000000,82.0766000,82.0766000,82.0766000,82.0766000,0
GBPCB,D,20191127,000000,82.4180000,82.4180000,82.4180000,82.4180000,0
GBPCB,D,20191128,000000,82.1595000,82.1595000,82.1595000,82.1595000,0
GBPCB,D,20191129,000000,82.9525000,82.9525000,82.9525000,82.9525000,0
GBPCB,D,20191130,000000,82.7167000,82.7167000,82.7167000,82.7167000,0
GBPCB,D,20191203,000000,83.2238000,83.2238000,83.2238000,83.2238000,0
GBPCB,D,20191204,000000,83.2538000,83.2538000,83.2538000,83.2538000,0
GBPCB,D,20191205,000000,83.6972000,83.6972000,83.6972000,83.6972000,0
GBPCB,D,20191206,000000,83.8701000,83.8701000,83.8701000,83.8701000,0
GBPCB,D,20191207,000000,83.7006000,83.7006000,83.7006000,83.7006000,0
GBPCB,D,20191210,000000,83.8804000,83.8804000,83.8804000,83.8804000,0
GBPCB,D,20191211,000000,83.5489000,83.5489000,83.5489000,83.5489000,0
GBPCB,D,20191212,000000,83.3913000,83.3913000,83.3913000,83.3913000,0
GBPCB,D,20191213,000000,83.4959000,83.4959000,83.4959000,83.4959000,0
GBPCB,D,20191214,000000,83.8542000,83.8542000,83.8542000,83.8542000,0
GBPCB,D,20191217,000000,83.9969000,83.9969000,83.9969000,83.9969000,0
GBPCB,D,20191218,000000,82.4930000,82.4930000,82.4930000,82.4930000,0
GBPCB,D,20191219,000000,82.0715000,82.0715000,82.0715000,82.0715000,0
GBPCB,D,20191220,000000,82.0184000,82.0184000,82.0184000,82.0184000,0
GBPCB,D,20191221,000000,81.2977000,81.2977000,81.2977000,81.2977000,0
GBPCB,D,20191224,000000,81.0680000,81.0680000,81.0680000,81.0680000,0
GBPCB,D,20191225,000000,80.4072000,80.4072000,80.4072000,80.4072000,0
GBPCB,D,20191226,000000,80.1079000,80.1079000,80.1079000,80.1079000,0
GBPCB,D,20191227,000000,80.2114000,80.2114000,80.2114000,80.2114000,0
GBPCB,D,20191228,000000,80.8270000,80.8270000,80.8270000,80.8270000,0
GBPCB,D,20191231,000000,81.1460000,81.1460000,81.1460000,81.1460000,0
GBPCB,D,20200101,000000,81.3069000,81.3069000,81.3069000,81.3069000,0
GBPCB,D,20200110,000000,80.2533000,80.2533000,80.2533000,80.2533000,0
GBPCB,D,20200111,000000,80.0710000,80.0710000,80.0710000,80.0710000,0
GBPCB,D,20200114,000000,79.2072000,79.2072000,79.2072000,79.2072000,0
GBPCB,D,20200115,000000,79.6662000,79.6662000,79.6662000,79.6662000,0
GBPCB,D,20200116,000000,79.9548000,79.9548000,79.9548000,79.9548000,0
GBPCB,D,20200117,000000,80.3111000,80.3111000,80.3111000,80.3111000,0
GBPCB,D,20200118,000000,80.4917000,80.4917000,80.4917000,80.4917000,0
GBPCB,D,20200121,000000,79.7759000,79.7759000,79.7759000,79.7759000,0
GBPCB,D,20200122,000000,80.4674000,80.4674000,80.4674000,80.4674000,0
GBPCB,D,20200123,000000,80.6752000,80.6752000,80.6752000,80.6752000,0
GBPCB,D,20200124,000000,81.3919000,81.3919000,81.3919000,81.3919000,0
GBPCB,D,20200125,000000,81.1104000,81.1104000,81.1104000,81.1104000,0
GBPCB,D,20200128,000000,81.5194000,81.5194000,81.5194000,81.5194000,0
GBPCB,D,20200129,000000,81.7605000,81.7605000,81.7605000,81.7605000,0
GBPCB,D,20200130,000000,81.1988000,81.1988000,81.1988000,81.1988000,0
GBPCB,D,20200131,000000,81.8332000,81.8332000,81.8332000,81.8332000,0
GBPCB,D,20200201,000000,82.9640000,82.9640000,82.9640000,82.9640000,0
GBPCB,D,20200204,000000,83.9766000,83.9766000,83.9766000,83.9766000,0
GBPCB,D,20200205,000000,82.2678000,82.2678000,82.2678000,82.2678000,0
GBPCB,D,20200206,000000,82.4297000,82.4297000,82.4297000,82.4297000,0
GBPCB,D,20200207,000000,81.5554000,81.5554000,81.5554000,81.5554000,0
GBPCB,D,20200208,000000,82.0756000,82.0756000,82.0756000,82.0756000,0
GBPCB,D,20200211,000000,82.1177000,82.1177000,82.1177000,82.1177000,0
GBPCB,D,20200212,000000,82.5198000,82.5198000,82.5198000,82.5198000,0
GBPCB,D,20200213,000000,81.7657000,81.7657000,81.7657000,81.7657000,0
GBPCB,D,20200214,000000,82.5485000,82.5485000,82.5485000,82.5485000,0
GBPCB,D,20200215,000000,82.7816000,82.7816000,82.7816000,82.7816000,0
GBPCB,D,20200218,000000,82.5796000,82.5796000,82.5796000,82.5796000,0
GBPCB,D,20200219,000000,82.7987000,82.7987000,82.7987000,82.7987000,0
GBPCB,D,20200220,000000,82.8827000,82.8827000,82.8827000,82.8827000,0
GBPCB,D,20200221,000000,82.2263000,82.2263000,82.2263000,82.2263000,0
GBPCB,D,20200222,000000,82.9866000,82.9866000,82.9866000,82.9866000,0
GBPCB,D,20200226,000000,84.1250000,84.1250000,84.1250000,84.1250000,0
GBPCB,D,20200227,000000,85.0682000,85.0682000,85.0682000,85.0682000,0
